Name,ID Competição,Classe Vela,Position,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
COLLINGRIDGE Daisy (GBRDC96)      F99,7,Ilca 6,"3
3.0",G,12,,217,166,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
KARACHALIOU Vasileia (GREVK5)      F96,7,Ilca 6,"20
20.0",G,13,,207,171,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
VOROBEVA Elena (CROEV1)                F88,7,Ilca 6,"36
36.0",G,14,,215,172,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
JAYET MAUD (SUIMJ3)                          F96,7,Ilca 6,"29
29.0",G,15,,244,178,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
ANDRULYTE Viktorija (LTUVA1)            F92,7,Ilca 6,"15
15.0",G,16,,230,185,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
THOMSON Zoe (AUSZT3)                      F98,7,Ilca 6,"16
16.0",G,17,,251,185,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
CARDOZO Luciana (ARGLC12)             F99,7,Ilca 6,"18
18.0",G,18,,240,185,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
BUESSELBERG Julia (GERJB68)         F00,7,Ilca 6,"40
40.0",G,19,,256,190,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
MAKRI Marilena (CYPMM3)                   F02,7,Ilca 6,"27
27.0",G,20,,241,192,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
IMENEO Casey (AUSCI3)                       F97,7,Ilca 6,"26
26.0",G,21,,235,196,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
BOLOU Marie (FRAMB29)                     F92,7,Ilca 6,"6
6.0",G,22,,249,197,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
FALASCA Lucia (ARGLF01)                   F93,7,Ilca 6,"19
19.0",G,23,,247,199,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
NICHOLLS Matilda (GBRMN16)            F01,7,Ilca 6,"31
31.0",G,24,,244,204,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
ERDI Maria (HUNME1)                           F98,7,Ilca 6,"DSQ
   (66.0)",G,25,,281,215,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
